[1] general-provisions
[2] separation-and-accountability
[3] permission
[4] system-responsibility
[5] closed-security
[6] sovereignty
[7] amendment-and-protection
[8] interpretation-and-conflict
[9] directory-special-law
[10] 琍坚-chinese-codex-confidentiality-special-law
[11] permission-identity-special-law
[12] information-communication-special-law
[13] runtime-lifecycle-fault-isolation-special-law
[14] data-authority-storage-rag-special-law
[15] model-resource-gpu-special-law
[16] language-source-native-boundary-special-law
[17] version-release-hot-update-rollback-special-law
[18] third-party-network-supply-chain-special-law
[19] audit-evidence-timestamp-retention-special-law
[20] ui-window-projection-synchronization-special-law
[21] git-worktree-special-law
[22] learning-system-special-law
[23] automatic-maintenance-repair-special-law
[24] privacy-personal-data-special-law
[25] cryptography-key-management-special-law
[26] disaster-recovery-continuity-special-law
[27] test-validation-evaluation-special-law
[28] startup-control-special-law
[29] independent-tool-lifecycle-isolation-special-law
[30] identity-group-membership-and-authority-special-law
[31] top-level-directory-path-special-law
[32] mandatory-implementation-obligation-special-law
[33] anti-jailbreak-special-law
[34] system-reliability-performance-repair-isolation-special-law

--- articles: 379
A1 | sec=1 | governance-rule
A2 | sec=1 | function
A3 | sec=1 | storage
A5 | sec=2 | delegation
A6 | sec=3 | permission
A7 | sec=3 | permission-directory
A22 | sec=3 | permission-termination
A23 | sec=3 | permission-identifiers
A8 | sec=4 | system-responsibility
A10 | sec=5 | authorization
A11 | sec=5 | fail-closed
A12 | sec=6 | sovereign-decision
A13 | sec=6 | hot-update
A20 | sec=6 | 琍坚-power
A14 | sec=7 | immutability
A15 | sec=7 | protection
A17 | sec=8 | amendment
A25 | sec=6 | maintenance-health
A28 | sec=6 | runtime
A29 | sec=8 | codex
A30 | sec=6 | resource
A31 | sec=6 | data
A32 | sec=6 | integration
A33 | sec=6 | boundary-data-integrity
A35 | sec=4 | architecture-hybrid
A38 | sec=8 | codex-language
A39 | sec=2 | actors
A40 | sec=3 | bootstrap
A41 | sec=7 | governor-and-seal
A42 | sec=3 | directory-write
A44 | sec=4 | four-functions-local
A45 | sec=4 | interface-layer
A46 | sec=2 | audit-ledger
A47 | sec=2 | violation-closure
A48 | sec=7 | amendment-execution
A49 | sec=4 | formal-tools
A50 | sec=6 | programming-language-review
A52 | sec=4 | rag-architecture
A53 | sec=4 | git-operation-tiers
A55 | sec=4 | file-extension-conventions
A56 | sec=4 | test-framework-tiering
A57 | sec=6 | self-health-test-necessity
A58 | sec=4 | embedded-browser-governed-access
A65 | sec=4 | cross-layer-information-layer
A66 | sec=4 | module-execution-layer
A68 | sec=4 | module-fine-grained-decomposition
A69 | sec=4 | execution-layer-internal-tiering
A74 | sec=1 | single-codex-citation-entry
A75 | sec=4 | postgresql-cannot-change-codex
A77 | sec=7 | absolute-codex-immutability
A78 | sec=1 | codex-authenticity-without-decider
A79 | sec=7 | codex-modification-history
A80 | sec=7 | complete-codex-traceability
A82 | sec=7 | codex-always-read-only
A83 | sec=1 | codex-highest-authority
A85 | sec=1 | per-provision-codex-identity
A86 | sec=7 | new-provision-identity-and-effective-time
A87 | sec=7 | provision-update-recertification
A88 | sec=7 | atomic-provision-supersession
A89 | sec=1 | sovereign-decision-codex-basis
A91 | sec=1 | sovereign-only-codex-use
A94 | sec=7 | codex-without-codex-view
A95 | sec=7 | highest-authority-application-boundary
A96 | sec=7 | codex-reference-normalization
A98 | sec=7 | single-channel-authentication
A99 | sec=7 | codex-corruption-recovery
A100 | sec=7 | deterministic-version-classification
A101 | sec=7 | module-execution-native-source-launch
A102 | sec=4 | loaded-governed-backend-module-runtime-reexecution
A103 | sec=7 | bounded-codex-proxy
A104 | sec=7 | candidate-build-review-and-human-seal
A107 | sec=7 | codex-storage-format
A108 | sec=7 | ghost-provision-prohibition
A109 | sec=7 | version-increment-accuracy
A111 | sec=7 | explicit-sovereign-powers
A112 | sec=7 | cryptography-and-key-lifecycle
A113 | sec=7 | data-retention
A114 | sec=7 | backup-integrity
A115 | sec=7 | time-and-clock
A116 | sec=7 | resource-quota
A117 | sec=7 | api-contract-versioning
A118 | sec=7 | security-operations
A119 | sec=7 | codex-conflict-procedure
A120 | sec=7 | codex-language-style
