provision_id,subject,section,primary_dimension,kind,owning_unit,owners,delegation_note
A1,governance-rule,general-provisions,模型/推論,mixed,codex-retained,,"delegate business content, retain governance shell"
A10,authorization,closed-security,安全與稽核,governance,codex-retained,,retain in codex (governance/boundary)
A100,deterministic-version-classification,amendment-and-protection,工程實作要求,business,codex-retained,,"delegate to owning unit domain (successor, retain reference only)"
A101,module-execution-native-source-launch,amendment-and-protection,工程實作要求,mixed,codex-retained,,"delegate business content, retain governance shell"
A102,loaded-governed-backend-module-runtime-reexecution,system-responsibility,資料/SQL,mixed,UNIT_RUNTIME,,"delegate business content, retain governance shell"
A103,bounded-codex-proxy,amendment-and-protection,資料/SQL,mixed,codex-retained,,"delegate business content, retain governance shell"
A104,candidate-build-review-and-human-seal,amendment-and-protection,資料/SQL,mixed,codex-retained,,"delegate business content, retain governance shell"
A107,codex-storage-format,amendment-and-protection,模型/推論,mixed,codex-retained,,"delegate business content, retain governance shell"
A108,ghost-provision-prohibition,amendment-and-protection,安全與稽核,governance,codex-retained,,retain in codex (governance/boundary)
A109,version-increment-accuracy,amendment-and-protection,工程實作要求,business,codex-retained,,"delegate to owning unit domain (successor, retain reference only)"
A11,fail-closed,closed-security,安全與稽核,governance,codex-retained,permission,retain in codex (governance/boundary)
A111,explicit-sovereign-powers,amendment-and-protection,治理/權責,governance,codex-retained,explicit-sovereign,retain in codex (governance/boundary)
A112,cryptography-and-key-lifecycle,amendment-and-protection,資料/SQL,mixed,codex-retained,,"delegate business content, retain governance shell"
A113,data-retention,amendment-and-protection,資料/SQL,mixed,codex-retained,,"delegate business content, retain governance shell"
A114,backup-integrity,amendment-and-protection,安全與稽核,mixed,codex-retained,,"delegate business content, retain governance shell"
A115,time-and-clock,amendment-and-protection,時限/預算,governance,codex-retained,,retain in codex (governance/boundary)
A116,resource-quota,amendment-and-protection,模型/推論,mixed,codex-retained,automation;automation-sovereign,"delegate business content, retain governance shell"
A117,api-contract-versioning,amendment-and-protection,資料/SQL,business,codex-retained,,"delegate to owning unit domain (successor, retain reference only)"
A118,security-operations,amendment-and-protection,資料/SQL,mixed,codex-retained,,"delegate business content, retain governance shell"
A119,codex-conflict-procedure,amendment-and-protection,安全與稽核,mixed,codex-retained,eligible-sovereign,"delegate business content, retain governance shell"
A12,sovereign-decision,sovereignty,治理/權責,governance,codex-retained,decision;permission,retain in codex (governance/boundary)
A120,codex-language-style,amendment-and-protection,安全與稽核,governance,codex-retained,,retain in codex (governance/boundary)
A121,security-boundary-enforcement,closed-security,安全與稽核,mixed,codex-retained,,"delegate business content, retain governance shell"
A122,codex-interpretation-hierarchy,interpretation-and-conflict,安全與稽核,governance,codex-retained,eligible-sovereign,retain in codex (governance/boundary)
A123,system-learning-sovereign,sovereignty,安全與稽核,governance,codex-retained,learning-evidence-sync-sub-sovereign;system-learning-sovereign,retain in codex (governance/boundary)
A124,system-programming-sovereign,sovereignty,模型/推論,mixed,codex-retained,automation;programming-sovereign;sub-sovereign;system-programming-sovereign,"delegate business content, retain governance shell"
A125,maintenance-sovereign-focused-duty,sovereignty,安全與稽核,mixed,codex-retained,decision;decision-sovereign;health-maintenance-test-sub-sovereign;maintenance-sovereign;permission;permission-sovereign,"delegate business content, retain governance shell"
A126,system-sovereign-dual-division,sovereignty,工程實作要求,mixed,codex-retained,decision;direct-cross-sovereign;system-sovereign,"delegate business content, retain governance shell"
A127,sovereign-rank-and-view-alignment,amendment-and-protection,工程實作要求,mixed,codex-retained,automation;automation-sovereign;decision;decision-sovereign;legacy-single-system-sovereign;permission;permission-sovereign;runtime-sovereign,"delegate business content, retain governance shell"
A128,adaptive-sovereign-responsibility-map,sovereignty,資料/SQL,mixed,codex-retained,adaptive-sovereign;automation;cross-sovereign;decision,"delegate business content, retain governance shell"
A13,hot-update,sovereignty,安全與稽核,mixed,codex-retained,,"delegate business content, retain governance shell"
A130,adaptive-sub-sovereign-topology,sovereignty,資料/SQL,mixed,codex-retained,adaptive-sub-sovereign;may-operate-without-sub-sovereign;runtime-sovereign;startup-sub-sovereign;sub-sovereign;unnecessary-sub-sovereign,"delegate business content, retain governance shell"
A131,sub-sovereign-capability-ceiling,sovereignty,流程/程序,mixed,codex-retained,sub-sovereign,"delegate business content, retain governance shell"
A132,registered-sovereign-codex-view-allowlist,permission-identity-special-law,治理/權責,governance,codex-retained,registered-sovereign;sub-sovereign,retain in codex (governance/boundary)
A134,permission-sovereign-independent-special-status,sovereignty,治理/權責,governance,codex-retained,independent-special-authority-sovereign;other-sovereign;permission;permission-sovereign;system-permission-sovereign,retain in codex (governance/boundary)
A137,星澄-review-isolation,sovereignty,工程實作要求,business,codex-retained,,"delegate to owning unit domain (successor, retain reference only)"
A138,星澄-review-thinking,sovereignty,治理/權責,governance,codex-retained,decision,retain in codex (governance/boundary)
A139,星澄-review-power,sovereignty,安全與稽核,mixed,codex-retained,,"delegate business content, retain governance shell"
A14,immutability,amendment-and-protection,資料/SQL,mixed,codex-retained,,"delegate business content, retain governance shell"
A140,星澄-information-interface,sovereignty,資料/SQL,business,codex-retained,,"delegate to owning unit domain (successor, retain reference only)"
A141,星澄-review-model-modes,sovereignty,模型/推論,business,codex-retained,,"delegate to owning unit domain (successor, retain reference only)"
A144,codex-view-exclusive-audience,permission-identity-special-law,治理/權責,governance,codex-retained,registered-sovereign;sub-sovereign,retain in codex (governance/boundary)
A145,星澄-auxiliary-system-duty,sovereignty,安全與稽核,governance,codex-retained,,retain in codex (governance/boundary)
A146,converged-system-status,sovereignty,工程實作要求,mixed,codex-retained,,"delegate business content, retain governance shell"
A148,canonical-sovereign-folder-name,sovereignty,治理/權責,governance,codex-retained,canonical-sovereign;must-exactly-equal-effective-sovereign,retain in codex (governance/boundary)
A149,platform-management-owner,sovereignty,流程/程序,mixed,codex-retained,decision;decision-sovereign;legacy-system-sovereign;runtime-sovereign;startup-sub-sovereign,"delegate business content, retain governance shell"
A15,protection,amendment-and-protection,安全與稽核,mixed,codex-retained,,"delegate business content, retain governance shell"
A150,decision-boundary,sovereignty,治理/權責,governance,codex-retained,decision;permission;sub-sovereign,retain in codex (governance/boundary)
A151,tool-and-platform-service-ownership,sovereignty,治理/權責,governance,codex-retained,decision;decision-sovereign;runtime-sovereign,retain in codex (governance/boundary)
A152,frontend-backend-recovery-boundary,sovereignty,工程實作要求,mixed,codex-retained,decision;decision-sovereign;health-maintenance-test-sub-sovereign;learning-evidence-sync-sub-sovereign;release-update-sync-sub-sovereign;runtime-sovereign,"delegate business content, retain governance shell"
A154,repair-responsibility-chain,sovereignty,安全與稽核,mixed,codex-retained,decision;permission;system-runtime,"delegate business content, retain governance shell"
A155,explicit-sovereign-prohibitions,sovereignty,安全與稽核,governance,codex-retained,cross-sovereign;explicit-sovereign;permission,retain in codex (governance/boundary)
A156,星澄-grouped-authority,sovereignty,治理/權責,governance,codex-retained,,retain in codex (governance/boundary)
A157,unsigned-version-effect,星澄-chinese-codex-confidentiality-special-law,安全與稽核,governance,codex-retained,,retain in codex (governance/boundary)
A158,physical-folder-exceptions,sovereignty,時限/預算,mixed,codex-retained,,"delegate business content, retain governance shell"
A159,architecture-alignment-verification,sovereignty,安全與稽核,mixed,codex-retained,startup-sub-sovereign,"delegate business content, retain governance shell"
A160,sovereign-identity-namespace,星澄-chinese-codex-confidentiality-special-law,治理/權責,governance,codex-retained,mixed-sovereign,retain in codex (governance/boundary)
A161,entity-classification-authority,sovereignty,工程實作要求,mixed,codex-retained,as-system-sovereign;infer-sovereign;is-authoritative-for-sovereign,"delegate business content, retain governance shell"
A163,multi-worker-automatic-git-delivery,sovereignty,資料/SQL,mixed,codex-retained,,"delegate business content, retain governance shell"
A165,code-replication-prohibition,sovereignty,資料/SQL,mixed,codex-retained,forbidden-without-permission-sovereign;permission;release-update-sync-sub-sovereign,"delegate business content, retain governance shell"
A166,code-extraction-prohibition,sovereignty,工程實作要求,mixed,codex-retained,,"delegate business content, retain governance shell"
A17,amendment,interpretation-and-conflict,未分類,business,codex-retained,,"delegate to owning unit domain (successor, retain reference only)"
A170,automatic-system-health-preservation,sovereignty,資料/SQL,mixed,codex-retained,decision;decision-sovereign;health-maintenance-test-sub-sovereign;permission;runtime-dispatch-or-release-update-sync-sub-sovereign,"delegate business content, retain governance shell"
A173,single-codex-with-星澄-only-Chinese-exception,general-provisions,時限/預算,mixed,codex-retained,access-by-sovereign;permission;permission-sovereign;sub-sovereign,"delegate business content, retain governance shell"
A174,permission-managed-official-and-星澄-Chinese-view,amendment-and-protection,資料/SQL,mixed,codex-retained,permission;permission-sovereign,"delegate business content, retain governance shell"
A175,hot-update-hot-reload-release-certification,sovereignty,資料/SQL,mixed,codex-retained,decision;permission;permission-sovereign,"delegate business content, retain governance shell"
A176,frontend-backend-connection-fault-tolerance,sovereignty,時限/預算,mixed,codex-retained,decision;permission;system-runtime,"delegate business content, retain governance shell"
A177,universal-information-layer-connection-exclusivity,system-responsibility,時限/預算,mixed,UNIT_RUNTIME,decision;sovereign-sub-sovereign,"delegate business content, retain governance shell"
A178,system-runtime-stability,sovereignty,時限/預算,mixed,codex-retained,automation;automation-sovereign;decision;decision-sovereign;permission;permission-sovereign;repair-without-sovereign;restart-only-through-runtime-sovereign;system-runtime,"delegate business content, retain governance shell"
A181,certified-hot-update-persistence-and-reset-prevention,sovereignty,資料/SQL,mixed,codex-retained,decision;permission;permission-sovereign,"delegate business content, retain governance shell"
A182,version-authority-and-repair-reset-prohibition,sovereignty,模型/推論,mixed,codex-retained,decision;permission;permission-sovereign;release-update-sync-sub-sovereign,"delegate business content, retain governance shell"
A184,reciprocal-main-system-independent-tool-runtime-isolation,system-responsibility,時限/預算,mixed,UNIT_RUNTIME,,"delegate business content, retain governance shell"
A185,source-size-and-permission-managed-directory-control,system-responsibility,資料/SQL,mixed,UNIT_RUNTIME,decision;other-sovereign;permission;permission-sovereign,"delegate business content, retain governance shell"
A186,layered-information-system-and-tiered-view-access,system-responsibility,模型/推論,mixed,UNIT_RUNTIME,decision;permission;permission-sovereign,"delegate business content, retain governance shell"
A187,separated-sovereign-validation-chain,sovereignty,時限/預算,mixed,codex-retained,decision;decision-sovereign;permission;permission-sovereign;runtime-sovereign;separated-sovereign,"delegate business content, retain governance shell"
A188,sovereign-collaboration-and-information-layer-handoff,sovereignty,時限/預算,mixed,codex-retained,all-sovereign;automation;automation-sovereign;channel-contract-sync-sub-sovereign;decision;decision-sovereign;denial-is-not-overridable-by-other-sovereign;direct-sovereign;each-specialized-sovereign;hands-verified-readiness-to-runtime-sovereign;health-maintenance-test-sub-sovereign;learning-evidence-sync-sub-sovereign;permission;permission-sovereign;release-update-sync-sub-sovereign;runtime-sovereign;startup-sub-sovereign;sub-sovereign,"delegate business content, retain governance shell"
A189,星澄-exclusive-auxiliary-information-channel,system-responsibility,模型/推論,mixed,UNIT_RUNTIME,permission;system-sovereign,"delegate business content, retain governance shell"
A191,startup-dependency-classification-and-legacy-order-retirement,system-responsibility,時限/預算,mixed,UNIT_RUNTIME,decision;permission,"delegate business content, retain governance shell"
A192,optimized-startup-sovereign-responsibility,system-responsibility,時限/預算,mixed,UNIT_RUNTIME,and-sovereign;atomically-handoff-runtime-ownership-to-runtime-sovereign;decision;optimized-startup-sovereign;permission;permission-sovereign;startup-sub-sovereign,"delegate business content, retain governance shell"
A193,official-startup-entry-and-ui-launcher,system-responsibility,模型/推論,mixed,UNIT_RUNTIME,decision;permission;system-runtime,"delegate business content, retain governance shell"
A194,startup-readiness-handoff-and-lifecycle-finality,system-responsibility,流程/程序,mixed,UNIT_RUNTIME,permission;runtime-sovereign;startup-sub-sovereign;system-runtime,"delegate business content, retain governance shell"
A195,backend-state-to-frontend-projection-synchronization,system-responsibility,時限/預算,mixed,UNIT_RUNTIME,permission,"delegate business content, retain governance shell"
A196,stable-single-window-process-per-application-session,system-responsibility,時限/預算,mixed,UNIT_RUNTIME,decision;runtime-sovereign,"delegate business content, retain governance shell"
A197,third-party-sovereign-optimized-responsibility,sovereignty,模型/推論,mixed,codex-retained,automation;automation-sovereign;decision;dependency-sync-sub-sovereign;legacy-third-party-sub-sovereign;owned-by-data-governance-sub-sovereign;permission;release-update-sync-sub-sovereign;specialized-decision-sovereign;system-runtime;third-party-sovereign,"delegate business content, retain governance shell"
A198,local-code-and-third-party-dependency-boundary,system-responsibility,資料/SQL,mixed,UNIT_RUNTIME,decision;legacy-sub-sovereign,"delegate business content, retain governance shell"
A199,ten-second-complete-startup-deadline,system-responsibility,時限/預算,mixed,UNIT_RUNTIME,acknowledged-by-runtime-sovereign;permission;permission-sovereign;startup-sub-sovereign,"delegate business content, retain governance shell"
